Numero_expedient,Descripcio_dia_setmana,NK_Any,Mes_any,Dia_mes,Hora_dia,Descripcio_torn,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2019S001753    ,Dimarts,2019,3,5,21,Tarda,1,0,1,2,2.16383381805696,41.3981650017013
2019S001754    ,Dimarts,2019,3,5,22,Nit,2,0,2,1,2.16367179135755,41.3973855846116
2019S001755    ,Dimarts,2019,3,5,22,Nit,1,0,1,1,2.16682832458543,41.3901312204645
2019S001756    ,Dimecres,2019,3,6,5,Nit,1,0,1,1,2.15845760511802,41.3876359585625
2019S001757    ,Dimecres,2019,3,6,7,Matí,1,0,1,2,2.11506303786354,41.4018724621138
2019S001758    ,Dimecres,2019,3,6,9,Matí,1,0,1,2,2.15851675751022,41.3788831587929
2019S001759    ,Dimecres,2019,3,6,10,Matí,1,0,1,2,2.1477531763252,41.4056612295115
2019S001760    ,Dimecres,2019,3,6,10,Matí,1,0,1,1,2.2037949226379,41.4008787662093
2019S001761    ,Dimecres,2019,3,6,12,Matí,0,0,0,1,2.1881584903519,41.4475865506713
2019S001762    ,Dimecres,2019,3,6,11,Matí,1,0,1,2,2.17322150413634,41.3935616922428
2019S001763    ,Dimecres,2019,3,6,11,Matí,1,0,1,2,2.1949857369788,41.3863035473353
2019S001764    ,Dimecres,2019,3,6,13,Matí,1,0,1,1,2.1319397263931,41.3756048303688
2019S001765    ,Dimecres,2019,3,6,14,Tarda,1,0,1,2,2.14342857823169,41.3902878090847
2019S001766    ,Dimecres,2019,3,6,15,Tarda,1,0,1,2,2.11693349364151,41.385370246567
2019S001767    ,Dimecres,2019,3,6,17,Tarda,0,0,0,1,2.17348536940914,41.43047773123
2019S001768    ,Dimecres,2019,3,6,15,Tarda,2,0,2,2,2.17394032553351,41.4094269921776
2019S001769    ,Dimecres,2019,3,6,18,Tarda,1,0,1,2,2.1284653877008,41.3979578316377
2019S001770    ,Dimecres,2019,3,6,19,Tarda,1,0,1,1,2.1539252425922,41.4124138593734
2019S001771    ,Dimecres,2019,3,6,16,Tarda,3,0,3,4,2.15113078169363,41.3769574342581
2019S001772    ,Dimecres,2019,3,6,20,Tarda,1,0,1,2,2.12720974030082,41.3847117588521
2019S001773    ,Dimecres,2019,3,6,19,Tarda,1,0,1,1,2.13958550105357,41.3884758483848
2019S001774    ,Dimecres,2019,3,6,15,Tarda,2,0,2,2,2.17394032553351,41.4094269921776
2019S001775    ,Dimecres,2019,3,6,20,Tarda,1,0,1,1,2.18711037538369,41.4558058089602
2019S001776    ,Dimecres,2019,3,6,17,Tarda,1,0,1,1,2.14037145076289,41.3889737976789
2019S001777    ,Dimecres,2019,3,6,15,Tarda,0,0,0,1,2.17780403175547,41.444749558864
2019S001778    ,Dimecres,2019,3,6,21,Tarda,1,0,1,2,2.18176241662439,41.4240252989205
2019S001779    ,Dimecres,2019,3,6,19,Tarda,2,0,2,1,2.14959531124568,41.3911203496337
2019S001780    ,Dimecres,2019,3,6,22,Nit,1,0,1,2,2.17328302718894,41.4072730181631
