Numero_expedient,Any,Mes_any,Dia_mes,Hora_dia,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2018S005162    ,2018,7,4,14,1,0,1,3,2.154574,41.3518
2018S005131    ,2018,7,3,20,1,0,1,2,2.155547,41.352364
2018S004635    ,2018,6,18,8,1,0,1,2,2.154574,41.3518
2018S007974    ,2018,10,20,14,1,0,1,2,2.145227,41.352004
2018S004500    ,2018,6,12,9,1,0,1,2,2.148879,41.352165
2018S003478    ,2018,5,4,12,0,0,0,1,2.149624,41.353297
2018S000640    ,2018,1,24,18,2,0,2,2,2.151432,41.35244
2018S004680    ,2018,6,19,8,0,0,0,1,2.152216,41.352044
2018S007615    ,2018,10,8,10,1,0,1,2,2.154948,41.35163
2018S004300    ,2018,6,6,17,2,0,2,2,2.158849,41.352068
2018S003006    ,2018,4,19,15,1,0,1,2,2.158542,41.352158
2018S004419    ,2018,6,8,13,1,0,1,2,2.157848,41.352162
2018S005337    ,2018,7,10,14,1,0,1,2,2.154948,41.35163
2018S002583    ,2018,4,5,12,2,0,2,2,2.136558,41.352092
2018S003475    ,2018,5,4,10,0,0,0,1,2.143206,41.352396
2018S003980    ,2018,5,23,15,1,0,1,2,2.154574,41.3518
2018S009189    ,2018,12,1,17,1,0,1,2,2.151053,41.35292
2018S004826    ,2018,6,23,10,1,0,1,2,2.135054,41.351754
2018S006024    ,2018,8,3,16,0,0,0,1,2.156486,41.352933
2018S009258    ,2018,12,4,7,1,0,1,2,2.155751,41.352038
2018S006995    ,2018,9,18,8,1,0,1,2,2.155751,41.352038
2018S009922    ,2018,12,29,11,1,0,1,2,2.151053,41.35292
2018S005774    ,2018,7,26,9,1,0,1,3,2.151053,41.35292
2018S002433    ,2018,3,28,11,0,0,0,1,2.144211,41.353021
2018S004022    ,2018,5,24,14,1,0,1,2,2.157825,41.353001
2018S000054    ,2018,1,3,17,1,0,1,2,2.156821,41.352475
2018S005273    ,2018,7,8,19,2,0,2,1,2.141401,41.353524
2018S009170    ,2018,12,1,1,0,0,1,1,2.159933,41.355195
2018S003281    ,2018,4,27,22,2,0,2,3,2.156821,41.352475
2018S007858    ,2018,10,16,16,2,0,2,2,2.143938,41.353677
2018S004460    ,2018,6,10,7,1,0,1,2,2.160076,41.355115
2018S000558    ,2018,1,22,9,1,0,1,2,2.14334,41.3542
2018S000976    ,2018,2,5,22,4,0,4,4,2.157825,41.353001
2018S004900    ,2018,6,26,13,0,1,1,2,2.142501,41.353814
2018S008588    ,2018,11,9,12,1,0,1,2,2.14334,41.3542
2018S000257    ,2018,1,11,15,1,0,1,2,2.159933,41.355195
2018S003461    ,2018,5,3,18,0,0,0,1,2.14332,41.354639
2018S004980    ,2018,6,28,15,1,0,1,2,2.146667,41.354821
2018S000397    ,2018,1,16,9,1,0,1,2,2.138761,41.355074
2018S002418    ,2018,3,27,18,1,0,1,2,2.138377,41.355072
2018S004567    ,2018,6,14,18,0,0,0,2,2.142801,41.355345
2018S003670    ,2018,5,11,13,1,0,1,2,2.13963,41.35532
2018S000405    ,2018,1,16,16,1,0,1,1,2.138761,41.355074
2018S005430    ,2018,7,13,13,1,0,1,2,2.135731,41.355419
2018S001811    ,2018,3,6,7,2,0,2,2,2.160794,41.355823
2018S000671    ,2018,1,25,18,1,0,1,2,2.162307,41.357183
2018S008630    ,2018,11,11,3,2,0,2,2,2.160666,41.355904
2018S008576    ,2018,11,9,9,2,0,2,2,2.1418,41.356324
2018S008063    ,2018,10,23,14,2,0,2,2,2.141761,41.355989
2018S004021    ,2018,5,24,17,3,0,3,2,2.142911,41.354404
2018S003566    ,2018,5,8,11,2,0,2,2,2.1418,41.356324
2018S009750    ,2018,12,20,20,1,0,1,2,2.1418,41.356324
2018S002256    ,2018,3,21,14,1,0,1,2,2.1418,41.356324
2018S009064    ,2018,11,27,9,1,0,1,1,2.14512,41.35613
2018S002324    ,2018,3,23,16,1,0,1,2,2.161544,41.356507
2018S003742    ,2018,5,14,8,2,0,2,3,2.16142,41.356586
2018S004490    ,2018,6,12,7,2,0,2,1,2.1418,41.356324
2018S009261    ,2018,12,4,7,1,0,1,2,2.141315,41.356622
2018S006934    ,2018,9,14,14,2,0,2,2,2.14512,41.35613
2018S003231    ,2018,4,26,18,1,0,1,2,2.142629,41.356497
2018S001661    ,2018,3,1,20,1,0,1,2,2.142629,41.356497
2018S004508    ,2018,6,12,19,1,0,1,2,2.1418,41.356324
2018S004564    ,2018,6,14,17,1,0,1,1,2.141495,41.35715
2018S006723    ,2018,9,6,9,1,0,1,2,2.137209,41.357186
2018S009101    ,2018,11,28,17,1,0,1,1,2.138428,41.357561
2018S005985    ,2018,8,2,17,1,0,1,2,2.161544,41.356507
2018S004274    ,2018,6,2,12,1,0,1,2,2.161544,41.356507
2018S000142    ,2018,1,7,19,1,0,1,2,2.138808,41.35795
2018S002537    ,2018,4,3,21,1,0,1,2,2.144076,41.358389
2018S008957    ,2018,11,23,12,2,0,2,2,2.144076,41.358389
2018S003264    ,2018,4,27,10,2,0,2,1,2.143581,41.357988
2018S004285    ,2018,6,2,15,1,0,1,2,2.140346,41.358358
2018S004421    ,2018,6,8,15,1,0,1,2,2.140346,41.358358
2018S003902    ,2018,5,19,20,0,0,0,2,2.141509,41.359103
2018S004076    ,2018,5,26,7,0,0,0,2,2.141036,41.358964
2018S004846    ,2018,6,24,10,0,0,0,2,2.139368,41.359286
2018S002020    ,2018,3,12,13,1,0,1,2,2.144076,41.358389
2018S006387    ,2018,8,20,14,1,0,1,2,2.144365,41.359345
2018S006245    ,2018,8,13,20,0,0,0,1,2.144365,41.359345
2018S005690    ,2018,7,23,11,1,0,1,2,2.144593,41.359048
2018S000091    ,2018,1,5,7,0,0,0,2,2.147819,41.359964
2018S000832    ,2018,1,31,11,2,0,2,2,2.142062,41.359607
2018S005284    ,2018,7,9,9,1,0,1,2,2.163912,41.358471
2018S000619    ,2018,1,24,7,1,0,1,1,2.165611,41.359692
2018S004159    ,2018,5,29,14,1,0,1,1,2.159712,41.361377
2018S000998    ,2018,2,6,12,2,0,2,2,2.147033,41.359912
2018S009176    ,2018,12,1,9,1,0,1,2,2.142062,41.359607
2018S007087    ,2018,9,20,18,2,0,2,1,2.142062,41.359607
2018S004889    ,2018,6,26,8,1,0,1,3,2.149901,41.359762
2018S009474    ,2018,12,12,13,1,0,1,2,2.149901,41.359762
2018S000082    ,2018,1,4,18,1,0,1,2,2.137165,41.359905
2018S002165    ,2018,3,17,20,0,0,0,3,2.137609,41.359996
2018S009752    ,2018,12,21,7,1,0,1,2,2.149901,41.359762
2018S005005    ,2018,6,28,8,1,0,1,2,2.13816,41.36022
2018S008353    ,2018,11,1,0,2,0,2,2,2.138747,41.360548
2018S004839    ,2018,6,24,9,0,0,0,6,2.142385,41.36043
2018S006299    ,2018,8,16,17,6,0,6,3,2.165611,41.359692
2018S003959    ,2018,5,22,15,1,0,1,3,2.168121,41.361562
2018S005826    ,2018,7,27,19,2,0,2,3,2.165611,41.359692
2018S008105    ,2018,10,24,15,1,0,1,3,2.168121,41.361562
2018S001337    ,2018,2,18,20,5,0,5,3,2.168121,41.361562
2018S002626    ,2018,4,6,17,1,0,1,2,2.165611,41.359692
2018S009815    ,2018,12,23,15,1,0,1,2,2.165611,41.359692
2018S001994    ,2018,3,12,10,2,0,2,2,2.167249,41.360975
2018S009884    ,2018,12,27,19,1,0,1,2,2.165611,41.359692
2018S004218    ,2018,5,31,14,0,0,0,3,2.165611,41.359692
2018S002286    ,2018,3,22,9,1,0,1,3,2.168121,41.361562
2018S006442    ,2018,8,24,9,1,0,1,3,2.168121,41.361562
2018S003821    ,2018,5,16,12,5,0,5,2,2.168121,41.361562
2018S004235    ,2018,6,1,8,1,0,1,2,2.168121,41.361562
2018S008184    ,2018,10,26,16,1,0,1,3,2.168121,41.361562
2018S005988    ,2018,8,2,18,1,0,1,2,2.138747,41.360548
